age_bin,collection_date,positive_result,positivity_7day
45-64,2022-02-16,COVID,0.12536134681426256
45-64,2022-02-17,COVID,0.11746687895926292
45-64,2022-02-18,COVID,0.10897372609962343
45-64,2022-02-19,COVID,0.10306661621239624
45-64,2022-02-20,COVID,0.09940604518137
45-64,2022-02-21,COVID,0.09663561481708685
45-64,2022-02-22,COVID,0.09019242262036509
45-64,2022-02-23,COVID,0.086518291061228
45-64,2022-02-24,COVID,0.08199198536929404
45-64,2022-02-25,COVID,0.07851549591010273
45-64,2022-02-26,COVID,0.07517888936234954
45-64,2022-02-27,COVID,0.07231852796566964
45-64,2022-02-28,COVID,0.06646502160469113
45-64,2022-03-01,COVID,0.06423090703505024
45-64,2022-03-02,COVID,0.06145387842433978
45-64,2022-03-03,COVID,0.05817509093862724
45-64,2022-03-04,COVID,0.05624710933093386
45-64,2022-03-05,COVID,0.053033499908114165
45-64,2022-03-06,COVID,0.05069816005995218
45-64,2022-03-07,COVID,0.049634131425474196
45-64,2022-03-08,COVID,0.048261197645528046
45-64,2022-03-09,COVID,0.0459737032024831
45-64,2022-03-10,COVID,0.044692413888418166
45-64,2022-03-11,COVID,0.04344416790476073
45-64,2022-03-12,COVID,0.040526310256695446
45-64,2022-03-13,COVID,0.03943737363753764
45-64,2022-03-14,COVID,0.03846777255401662
45-64,2022-03-15,COVID,0.03701863667639433
45-64,2022-03-16,COVID,0.037494859041800645
45-64,2022-03-17,COVID,0.03714629265569238
45-64,2022-03-18,COVID,0.036746871857322824
45-64,2022-03-19,COVID,0.038343224344623277
45-64,2022-03-20,COVID,0.03883590521466264
45-64,2022-03-21,COVID,0.03999777519939724
45-64,2022-03-22,COVID,0.041108324650560975
45-64,2022-03-23,COVID,0.042765169758629595
45-64,2022-03-24,COVID,0.04436414971317341
45-64,2022-03-25,COVID,0.04794015237174487
45-64,2022-03-26,COVID,0.050512391523562336
45-64,2022-03-27,COVID,0.052498969938712184
45-64,2022-03-28,COVID,0.0544805613948783
45-64,2022-03-29,COVID,0.05666094872473841
45-64,2022-03-30,COVID,0.05809122987960511
45-64,2022-03-31,COVID,0.06054854131578978
45-64,2022-04-01,COVID,0.05996219826020616
45-64,2022-04-02,COVID,0.06433881986951048
45-64,2022-04-03,COVID,0.06794639606259975
45-64,2022-04-04,COVID,0.07222534426434042
45-64,2022-04-05,COVID,0.07602109796897336
45-64,2022-04-06,COVID,0.08082384234946931
45-64,2022-04-07,COVID,0.08342319907834007
45-64,2022-04-08,COVID,0.08918492450645572
45-64,2022-04-09,COVID,0.09110195403613285
45-64,2022-04-10,COVID,0.09560992622066801
45-64,2022-04-11,COVID,0.09743539720337904
45-64,2022-04-12,COVID,0.10106551321739599
45-64,2022-04-13,COVID,0.10273004329403439
45-64,2022-04-14,COVID,0.10968201317853403
45-64,2022-04-15,COVID,0.11383763250988509
45-64,2022-04-16,COVID,0.11774917203159088
45-64,2022-04-17,COVID,0.11980978367021176
45-64,2022-04-18,COVID,0.1279392061512191
45-64,2022-04-19,COVID,0.1320239881223984
45-64,2022-04-20,COVID,0.13741290831177191
45-64,2022-04-21,COVID,0.1377614621526753
45-64,2022-04-22,COVID,0.1398148740387638
45-64,2022-04-23,COVID,0.1461432967491043
45-64,2022-04-24,COVID,0.1539554720551746
45-64,2022-04-25,COVID,0.15553403815155353
45-64,2022-04-26,COVID,0.16055281798352578
45-64,2022-04-27,COVID,0.1627101046160269
45-64,2022-04-28,COVID,0.16739881093951875
45-64,2022-04-29,COVID,0.17070149824354458
45-64,2022-04-30,COVID,0.17175190469776863
45-64,2022-05-01,COVID,0.1754813226246126
45-64,2022-05-02,COVID,0.18124139930677693
45-64,2022-05-03,COVID,0.18555639993534573
45-64,2022-05-04,COVID,0.18808928920632728
45-64,2022-05-05,COVID,0.19311487339815434
45-64,2022-05-06,COVID,0.19739151637394792
45-64,2022-05-07,COVID,0.20304062565748993
45-64,2022-05-08,COVID,0.20955390152622425
45-64,2022-05-09,COVID,0.21433553189674187
45-64,2022-05-10,COVID,0.21729075466259404
45-64,2022-05-11,COVID,0.22066169028257912
45-64,2022-05-12,COVID,0.22246428521451808
45-64,2022-05-13,COVID,0.22695539337100765
45-64,2022-05-14,COVID,0.23057025872661122
45-64,2022-05-15,COVID,0.23595285339664046
45-64,2022-05-16,COVID,0.24133955034519694
45-64,2022-05-17,COVID,0.2437361547440858
45-64,2022-05-18,COVID,0.2500652103064543
45-64,2022-05-19,COVID,0.25713388110283475
45-64,2022-05-20,COVID,0.26154364986721995
45-64,2022-05-21,COVID,0.264535857428462
45-64,2022-05-22,COVID,0.26408278869921564
45-64,2022-05-23,COVID,0.2644811590002797
45-64,2022-05-24,COVID,0.26950856214401425
45-64,2022-05-25,COVID,0.27106331127332706
45-64,2022-05-26,COVID,0.2716987903556583
45-64,2022-05-27,COVID,0.2742540941709636
45-64,2022-05-28,COVID,0.274869861151452
45-64,2022-05-29,COVID,0.27540358259002723
45-64,2022-05-30,COVID,0.25953815590119067
45-64,2022-05-31,COVID,0.2643815355454215
45-64,2022-06-01,COVID,0.2697336379334672
45-64,2022-06-02,COVID,0.2711626670669221
45-64,2022-06-03,COVID,0.2706340436797821
45-64,2022-06-04,COVID,0.2696686754929275
45-64,2022-06-05,COVID,0.270804129704527
45-64,2022-06-06,COVID,0.2912993254187465
45-64,2022-06-07,COVID,0.2895374318397307
45-64,2022-06-08,COVID,0.2847757745944052
45-64,2022-06-09,COVID,0.28257282421622615
45-64,2022-06-10,COVID,0.2840490740729753
45-64,2022-06-11,COVID,0.28361792135915664
45-64,2022-06-12,COVID,0.28514630532474633
45-64,2022-06-13,COVID,0.28229026267075474
45-64,2022-06-14,COVID,0.28143783428236036
45-64,2022-06-15,COVID,0.284248208887934
45-64,2022-06-16,COVID,0.2859961945827742
45-64,2022-06-17,COVID,0.28776144869793513
45-64,2022-06-18,COVID,0.29249439683603795
45-64,2022-06-19,COVID,0.2984449231752541
45-64,2022-06-20,COVID,0.3076960078515895
45-64,2022-06-21,COVID,0.30957236868393456
45-64,2022-06-22,COVID,0.3138776091414464
45-64,2022-06-23,COVID,0.3162932109216691
<18,2021-11-02,COVID,0.28513926749857926
<18,2021-11-03,COVID,0.2535879412436686
<18,2021-11-04,COVID,0.21400307866933072
<18,2021-11-05,COVID,0.17564438636343965
<18,2021-11-06,COVID,0.14706161657015296
<18,2021-11-07,COVID,0.11991243128435124
<18,2021-11-08,COVID,0.0923375666132916
<18,2021-11-09,COVID,0.09252353239845026
<18,2021-11-10,COVID,0.09158744017868135
<18,2021-11-11,COVID,0.09225556124000335
<18,2021-11-12,COVID,0.0946749319281799
<18,2021-11-13,COVID,0.09599670786544535
<18,2021-11-14,COVID,0.09411002632099341
<18,2021-11-15,COVID,0.09272073492104362
<18,2021-11-16,COVID,0.09221252961309112
<18,2021-11-17,COVID,0.09082666263018617
<18,2021-11-18,COVID,0.08822073418808185
<18,2021-11-19,COVID,0.08471642876098748
<18,2021-11-20,COVID,0.07931786060492307
<18,2021-11-21,COVID,0.07544318381226321
<18,2021-11-22,COVID,0.07618870468843439
<18,2021-11-23,COVID,0.0799023518405638
<18,2021-11-24,COVID,0.08334535991406707
<18,2021-11-25,COVID,0.07629303616060577
<18,2021-11-26,COVID,0.08160230898569298
<18,2021-11-27,COVID,0.08864386907614374
<18,2021-11-28,COVID,0.09513760381482382
<18,2021-11-29,COVID,0.09840843270318596
<18,2021-11-30,COVID,0.09867962069409882
<18,2021-12-01,COVID,0.10142321408723208
<18,2021-12-02,COVID,0.11462536323740817
<18,2021-12-03,COVID,0.11400917682503507
<18,2021-12-04,COVID,0.11173020863427337
<18,2021-12-05,COVID,0.1109953607146338
<18,2021-12-06,COVID,0.10945272511560673
<18,2021-12-07,COVID,0.10796918128186198
<18,2021-12-08,COVID,0.1044730389092415
<18,2021-12-09,COVID,0.10037990701472214
<18,2021-12-10,COVID,0.0973735019758185
<18,2021-12-11,COVID,0.09657011747878112
<18,2021-12-12,COVID,0.09211836867473035
<18,2021-12-13,COVID,0.09000669379623298
<18,2021-12-14,COVID,0.08890298928431092
<18,2021-12-15,COVID,0.08650371060272023
<18,2021-12-16,COVID,0.08568732663969678
<18,2021-12-17,COVID,0.08332664869342936
<18,2021-12-18,COVID,0.08244855179490562
<18,2021-12-19,COVID,0.08648724814129427
<18,2021-12-20,COVID,0.08978005420761269
<18,2021-12-21,COVID,0.09363807106972079
<18,2021-12-22,COVID,0.10293212024370803
<18,2021-12-23,COVID,0.10954713093933166
<18,2021-12-24,COVID,0.11880985403184197
<18,2021-12-26,COVID,0.13049858956709132
<18,2021-12-27,COVID,0.1480424492162141
<18,2021-12-28,COVID,0.16612026304068786
<18,2021-12-29,COVID,0.18581086158449636
<18,2021-12-30,COVID,0.20134804841746629
<18,2021-12-31,COVID,0.2301583360781755
<18,2022-01-01,COVID,0.24016291483275426
<18,2022-01-02,COVID,0.2525422931387217
<18,2022-01-03,COVID,0.26576599165441733
<18,2022-01-04,COVID,0.2776194629603879
<18,2022-01-05,COVID,0.2896958273046005
<18,2022-01-06,COVID,0.3014846897594814
<18,2022-01-07,COVID,0.2986901854804119
<18,2022-01-08,COVID,0.3102829996371678
<18,2022-01-09,COVID,0.31589498320315934
<18,2022-01-10,COVID,0.32146347983214796
<18,2022-01-11,COVID,0.32326312065318374
<18,2022-01-12,COVID,0.3228084962796535
<18,2022-01-13,COVID,0.3216905969741757
<18,2022-01-14,COVID,0.32523846786027033
<18,2022-01-15,COVID,0.3312549025627632
<18,2022-01-16,COVID,0.3414885666936081
<18,2022-01-17,COVID,0.3493399956364652
<18,2022-01-18,COVID,0.36118071950082714
<18,2022-01-19,COVID,0.37353450969105995
<18,2022-01-20,COVID,0.3838109370368442
<18,2022-01-21,COVID,0.39159191393464826
<18,2022-01-22,COVID,0.3970061455847694
<18,2022-01-23,COVID,0.3987855866596034
<18,2022-01-24,COVID,0.39403894659001043
<18,2022-01-25,COVID,0.38852289994321204
<18,2022-01-26,COVID,0.3749685282332265
<18,2022-01-27,COVID,0.36487832829053374
<18,2022-01-28,COVID,0.35428272910794717
<18,2022-01-29,COVID,0.3465292113252634
<18,2022-01-30,COVID,0.3357844557295593
<18,2022-01-31,COVID,0.328492853356522
<18,2022-02-01,COVID,0.31672272410812774
<18,2022-02-02,COVID,0.3075927462842616
<18,2022-02-03,COVID,0.29376040142823584
<18,2022-02-04,COVID,0.28593427804145444
<18,2022-02-05,COVID,0.2785962531501433
<18,2022-02-06,COVID,0.2703348891638206
<18,2022-02-07,COVID,0.25736308340409964
<18,2022-02-08,COVID,0.24447292909964122
<18,2022-02-09,COVID,0.234459489590519
<18,2022-02-10,COVID,0.2250079853956588
<18,2022-02-11,COVID,0.2161706175563409
<18,2022-02-12,COVID,0.205250771959436
<18,2022-02-13,COVID,0.19234037939388518
<18,2022-02-14,COVID,0.1763532370004421
<18,2022-02-15,COVID,0.16313976297446806
<18,2022-02-16,COVID,0.15014643328152852
<18,2022-02-17,COVID,0.13978793617274318
<18,2022-02-18,COVID,0.12436907974662471
<18,2022-02-19,COVID,0.11096898326187002
<18,2022-02-20,COVID,0.1068241063394908
<18,2022-02-21,COVID,0.10375341611693226
<18,2022-02-22,COVID,0.10084855038829177
<18,2022-02-23,COVID,0.0980671346209605
<18,2022-02-24,COVID,0.09763779201793628
<18,2022-02-25,COVID,0.09576453921916975
<18,2022-02-26,COVID,0.09233111489402566
<18,2022-02-27,COVID,0.08525044531125313
<18,2022-02-28,COVID,0.07926589754494621
<18,2022-03-01,COVID,0.0718051033198798
<18,2022-03-02,COVID,0.06749019195387354
<18,2022-03-03,COVID,0.06328461921930205
<18,2022-03-04,COVID,0.06014921612189287
<18,2022-03-05,COVID,0.0607631476449153
<18,2022-03-06,COVID,0.055406004787772446
<18,2022-03-07,COVID,0.052526812711592076
<18,2022-03-08,COVID,0.049373144456369526
<18,2022-03-09,COVID,0.0455747911915731
<18,2022-03-10,COVID,0.041631069922761485
<18,2022-03-11,COVID,0.037981148415697115
<18,2022-03-12,COVID,0.02936447622806352
<18,2022-03-13,COVID,0.028111151007325468
<18,2022-03-14,COVID,0.026498537970791165
<18,2022-03-15,COVID,0.027515701677556126
<18,2022-03-16,COVID,0.027616505249168782
<18,2022-03-17,COVID,0.02900023219371839
<18,2022-03-18,COVID,0.03165404096997614
<18,2022-03-19,COVID,0.03429205896649386
<18,2022-03-20,COVID,0.035141664486355174
<18,2022-03-21,COVID,0.036620980311899434
<18,2022-03-22,COVID,0.03806888942478317
<18,2022-03-23,COVID,0.04149900065131511
<18,2022-03-24,COVID,0.04388762733486524
<18,2022-03-25,COVID,0.04452814328150363
<18,2022-03-26,COVID,0.04500024223344396
<18,2022-03-27,COVID,0.04824197213840233
<18,2022-03-28,COVID,0.05042070232715806
<18,2022-03-29,COVID,0.052349680554576304
<18,2022-03-30,COVID,0.050778863966026745
<18,2022-03-31,COVID,0.04917022050864379
<18,2022-04-01,COVID,0.05035500907315108
<18,2022-04-02,COVID,0.050566385697633665
<18,2022-04-03,COVID,0.056602905568739995
<18,2022-04-04,COVID,0.059959921962936494
<18,2022-04-05,COVID,0.060270387114651734
<18,2022-04-06,COVID,0.06395904871552635
<18,2022-04-07,COVID,0.06751121529198532
<18,2022-04-08,COVID,0.07064084546238195
<18,2022-04-09,COVID,0.07714236905174834
<18,2022-04-10,COVID,0.07316096194378581
<18,2022-04-11,COVID,0.07194891543406888
<18,2022-04-12,COVID,0.07402141712295848
<18,2022-04-13,COVID,0.07648498925247853
<18,2022-04-14,COVID,0.08006788052081351
<18,2022-04-15,COVID,0.08378988600309183
<18,2022-04-16,COVID,0.08715233375788768
<18,2022-04-17,COVID,0.08759155206050354
<18,2022-04-18,COVID,0.09673216523402826
<18,2022-04-19,COVID,0.10169442149354176
<18,2022-04-20,COVID,0.10669169118069173
<18,2022-04-21,COVID,0.10897210322755813
<18,2022-04-22,COVID,0.11323414037206911
<18,2022-04-23,COVID,0.12543436930084992
<18,2022-04-24,COVID,0.13727011809312045
<18,2022-04-25,COVID,0.14051002561015646
<18,2022-04-26,COVID,0.145250855826606
<18,2022-04-27,COVID,0.1527245649132183
<18,2022-04-28,COVID,0.15670171812584552
<18,2022-04-29,COVID,0.16354224261015998
<18,2022-04-30,COVID,0.1688693734625009
<18,2022-05-01,COVID,0.18081589866709663
<18,2022-05-02,COVID,0.18129502020333113
<18,2022-05-03,COVID,0.1868511642231335
<18,2022-05-04,COVID,0.18540437395413772
<18,2022-05-05,COVID,0.19075055572431787
<18,2022-05-06,COVID,0.19608281292098187
<18,2022-05-07,COVID,0.19642691607948665
<18,2022-05-08,COVID,0.19477210003097384
<18,2022-05-09,COVID,0.2025684209647284
<18,2022-05-10,COVID,0.21026013768178436
<18,2022-05-11,COVID,0.21333408363513576
<18,2022-05-12,COVID,0.21697444735301552
<18,2022-05-13,COVID,0.2182950350676553
<18,2022-05-14,COVID,0.2181350964840714
<18,2022-05-15,COVID,0.21866990476234058
<18,2022-05-16,COVID,0.21862050943025255
<18,2022-05-17,COVID,0.21690965959395303
<18,2022-05-18,COVID,0.22093455794874828
<18,2022-05-19,COVID,0.22074491286821246
<18,2022-05-20,COVID,0.21873120926836023
<18,2022-05-21,COVID,0.21455255699010115
<18,2022-05-22,COVID,0.2061659588366149
<18,2022-05-23,COVID,0.20654572275805563
<18,2022-05-24,COVID,0.203962922676602
<18,2022-05-25,COVID,0.19624988950231417
<18,2022-05-26,COVID,0.1907788383908176
<18,2022-05-27,COVID,0.18002717976887372
<18,2022-05-28,COVID,0.16978933519503878
<18,2022-05-29,COVID,0.17004327409483427
<18,2022-05-30,COVID,0.1747746975708837
<18,2022-05-31,COVID,0.17439679288554352
<18,2022-06-01,COVID,0.1753943193443246
<18,2022-06-02,COVID,0.17525244941598414
<18,2022-06-03,COVID,0.17719847705597255
<18,2022-06-04,COVID,0.17763274043671304
<18,2022-06-05,COVID,0.17704179068767695
<18,2022-06-06,COVID,0.16656804800752859
<18,2022-06-07,COVID,0.1588146013800609
<18,2022-06-08,COVID,0.15263382908950343
<18,2022-06-09,COVID,0.1471757809094745
<18,2022-06-10,COVID,0.1454951775318716
<18,2022-06-11,COVID,0.14440682310897662
<18,2022-06-12,COVID,0.13868701380024104
<18,2022-06-13,COVID,0.13849288780035038
<18,2022-06-14,COVID,0.13964441873400552
<18,2022-06-15,COVID,0.14236568756505952
<18,2022-06-16,COVID,0.1433205260104904
<18,2022-06-17,COVID,0.1429470812242053
<18,2022-06-18,COVID,0.14390905936947607
<18,2022-06-19,COVID,0.14968835469639627
<18,2022-06-20,COVID,0.15056786358807553
<18,2022-06-21,COVID,0.15168877931939626
<18,2022-06-22,COVID,0.14859007775272812
<18,2022-06-23,COVID,0.14601276132521732
>=65,2021-11-02,COVID,0.13701979171727377
>=65,2021-11-03,COVID,0.1237080166703433
>=65,2021-11-04,COVID,0.10627008496687092
>=65,2021-11-05,COVID,0.08875453173703196
>=65,2021-11-06,COVID,0.07420809543784987
>=65,2021-11-07,COVID,0.06583604669273403
>=65,2021-11-08,COVID,0.061175109468573574
>=65,2021-11-09,COVID,0.06129331695691372
>=65,2021-11-10,COVID,0.06196147752160619
>=65,2021-11-11,COVID,0.06298084183394045
>=65,2021-11-12,COVID,0.06203557459482471
>=65,2021-11-13,COVID,0.06512693866903839
>=65,2021-11-14,COVID,0.06658024531084793
>=65,2021-11-15,COVID,0.0681455302374101
>=65,2021-11-16,COVID,0.06902542062597376
>=65,2021-11-17,COVID,0.06932377109664153
>=65,2021-11-18,COVID,0.0702649298920883
>=65,2021-11-19,COVID,0.06972010974069784
>=65,2021-11-20,COVID,0.06821817860226818
>=65,2021-11-21,COVID,0.06695261068039844
>=65,2021-11-22,COVID,0.06623762596934676
>=65,2021-11-23,COVID,0.06482905988441075
>=65,2021-11-24,COVID,0.06690229383631166
>=65,2021-11-25,COVID,0.08742917823754161
>=65,2021-11-26,COVID,0.0860914559391178
>=65,2021-11-27,COVID,0.08716084326571123
>=65,2021-11-28,COVID,0.0864226783354929
>=65,2021-11-29,COVID,0.08507757492383483
>=65,2021-11-30,COVID,0.08623561340018138
>=65,2021-12-01,COVID,0.08364263323956155
>=65,2021-12-02,COVID,0.061454123617423605
>=65,2021-12-03,COVID,0.06130705104575707
>=65,2021-12-04,COVID,0.059924266736295015
>=65,2021-12-05,COVID,0.05972558627426295
>=65,2021-12-06,COVID,0.06126659136782499
>=65,2021-12-07,COVID,0.06029016686747587
>=65,2021-12-08,COVID,0.060942443995427094
>=65,2021-12-09,COVID,0.05989580323327431
>=65,2021-12-10,COVID,0.06107759831680349
>=65,2021-12-11,COVID,0.060765348721881385
>=65,2021-12-12,COVID,0.0604768582461722
>=65,2021-12-13,COVID,0.05955237500614962
>=65,2021-12-14,COVID,0.060742865430779926
>=65,2021-12-15,COVID,0.06189262819307585
>=65,2021-12-16,COVID,0.06275326911798627
>=65,2021-12-17,COVID,0.06421971364531352
>=65,2021-12-18,COVID,0.06411452061610493
>=65,2021-12-19,COVID,0.06698850023258562
>=65,2021-12-20,COVID,0.0668584631230015
>=65,2021-12-21,COVID,0.06624787147953459
>=65,2021-12-22,COVID,0.06740945379714479
>=65,2021-12-23,COVID,0.07174867896737083
>=65,2021-12-24,COVID,0.07847122985633716
>=65,2021-12-26,COVID,0.08653477377124898
>=65,2021-12-27,COVID,0.0993143600906851
>=65,2021-12-28,COVID,0.11741392896303836
>=65,2021-12-29,COVID,0.1297251459562208
>=65,2021-12-30,COVID,0.15155518082338185
>=65,2021-12-31,COVID,0.17528682967986842
>=65,2022-01-01,COVID,0.18772922599323247
>=65,2022-01-02,COVID,0.20159311930822962
>=65,2022-01-03,COVID,0.2145860209187858
>=65,2022-01-04,COVID,0.22777635901228552
>=65,2022-01-05,COVID,0.2406328453301323
>=65,2022-01-06,COVID,0.24866591646267056
>=65,2022-01-07,COVID,0.24469708883414282
>=65,2022-01-08,COVID,0.2515050294016742
>=65,2022-01-09,COVID,0.25150990940245493
>=65,2022-01-10,COVID,0.2547420229717336
>=65,2022-01-11,COVID,0.2584285638941826
>=65,2022-01-12,COVID,0.2565320076320696
>=65,2022-01-13,COVID,0.25920080345320934
>=65,2022-01-14,COVID,0.26233840209428605
>=65,2022-01-15,COVID,0.2640592461749423
>=65,2022-01-16,COVID,0.2642115459008028
>=65,2022-01-17,COVID,0.26564537293005414
>=65,2022-01-18,COVID,0.27040185056818716
>=65,2022-01-19,COVID,0.2779236273034308
>=65,2022-01-20,COVID,0.2775789991872389
>=65,2022-01-21,COVID,0.2770993668877141
>=65,2022-01-22,COVID,0.2824034352654631
>=65,2022-01-23,COVID,0.2856873639520337
>=65,2022-01-24,COVID,0.28556259696344805
>=65,2022-01-25,COVID,0.28194275292881243
>=65,2022-01-26,COVID,0.27509236009266697
>=65,2022-01-27,COVID,0.27423553164007874
>=65,2022-01-28,COVID,0.2736095895793536
>=65,2022-01-29,COVID,0.2711593177549117
>=65,2022-01-30,COVID,0.26785545360894186
>=65,2022-01-31,COVID,0.2635667741290294
>=65,2022-02-01,COVID,0.2595481350516535
>=65,2022-02-02,COVID,0.2562873227312427
>=65,2022-02-03,COVID,0.24984770773262385
>=65,2022-02-04,COVID,0.24472281586006292
>=65,2022-02-05,COVID,0.23999961412548151
>=65,2022-02-06,COVID,0.23862651775188115
>=65,2022-02-07,COVID,0.231923450051371
>=65,2022-02-08,COVID,0.22525435390321089
>=65,2022-02-09,COVID,0.21665916150492434
>=65,2022-02-10,COVID,0.2085465526471428
>=65,2022-02-11,COVID,0.20311190248196467
>=65,2022-02-12,COVID,0.19373622522833103
>=65,2022-02-13,COVID,0.1858801474234792
>=65,2022-02-14,COVID,0.17938489437313784
>=65,2022-02-15,COVID,0.17157987321227314
>=65,2022-02-16,COVID,0.1666781838742644
>=65,2022-02-17,COVID,0.15888995825145194
>=65,2022-02-18,COVID,0.1491075146659062
>=65,2022-02-19,COVID,0.1439791318806732
>=65,2022-02-20,COVID,0.1394989628839459
>=65,2022-02-21,COVID,0.13366116677259357
>=65,2022-02-22,COVID,0.12387661878306196
>=65,2022-02-23,COVID,0.11897582824960319
>=65,2022-02-24,COVID,0.11165457702133759
>=65,2022-02-25,COVID,0.10694903284566082
>=65,2022-02-26,COVID,0.09803570586676769
>=65,2022-02-27,COVID,0.0898997373014144
>=65,2022-02-28,COVID,0.08663526193036117
>=65,2022-03-01,COVID,0.08067305274120788
>=65,2022-03-02,COVID,0.07818362388282128
>=65,2022-03-03,COVID,0.07670105434932076
>=65,2022-03-04,COVID,0.07551005099727805
>=65,2022-03-05,COVID,0.07421187708500294
>=65,2022-03-06,COVID,0.07482485914918177
>=65,2022-03-07,COVID,0.0707988214157684
>=65,2022-03-08,COVID,0.07148285601255946
>=65,2022-03-09,COVID,0.06755464278359777
>=65,2022-03-10,COVID,0.0643930551688618
>=65,2022-03-11,COVID,0.06149389154548019
>=65,2022-03-12,COVID,0.05895453950984242
>=65,2022-03-13,COVID,0.05628220530221376
>=65,2022-03-14,COVID,0.05645131128527323
>=65,2022-03-15,COVID,0.05406293305785507
>=65,2022-03-16,COVID,0.05267199853590645
>=65,2022-03-17,COVID,0.05222194722867425
>=65,2022-03-18,COVID,0.05151643159655715
>=65,2022-03-19,COVID,0.0522800323222072
>=65,2022-03-20,COVID,0.05430708211566108
>=65,2022-03-21,COVID,0.05341261622119518
>=65,2022-03-22,COVID,0.052126055085112845
>=65,2022-03-23,COVID,0.053518841344465655
>=65,2022-03-24,COVID,0.0550277886051826
>=65,2022-03-25,COVID,0.054983385574112406
>=65,2022-03-26,COVID,0.053353678135581444
>=65,2022-03-27,COVID,0.05138201545207171
>=65,2022-03-28,COVID,0.05153039364392816
>=65,2022-03-29,COVID,0.05217257191261555
>=65,2022-03-30,COVID,0.053905445099103166
>=65,2022-03-31,COVID,0.053618343420057654
>=65,2022-04-01,COVID,0.05643379293004597
>=65,2022-04-02,COVID,0.06245353621830777
>=65,2022-04-03,COVID,0.06914461741433946
>=65,2022-04-04,COVID,0.07686797588536609
>=65,2022-04-05,COVID,0.08023759932461565
>=65,2022-04-06,COVID,0.08449426028195493
>=65,2022-04-07,COVID,0.09068401039346588
>=65,2022-04-08,COVID,0.0943415282890189
>=65,2022-04-09,COVID,0.09835485378382589
>=65,2022-04-10,COVID,0.09985898345696965
>=65,2022-04-11,COVID,0.10447171884377601
>=65,2022-04-12,COVID,0.11043837660473299
>=65,2022-04-13,COVID,0.11492915269671755
>=65,2022-04-14,COVID,0.11692092545576994
>=65,2022-04-15,COVID,0.12191988303748355
>=65,2022-04-16,COVID,0.12420559732319782
>=65,2022-04-17,COVID,0.11506743501602143
>=65,2022-04-18,COVID,0.11565979756490573
>=65,2022-04-19,COVID,0.12017275486030256
>=65,2022-04-20,COVID,0.12090234572958118
>=65,2022-04-21,COVID,0.12409213839305806
>=65,2022-04-22,COVID,0.12785366941376886
>=65,2022-04-23,COVID,0.13280029082691297
>=65,2022-04-24,COVID,0.15352939959104117
>=65,2022-04-25,COVID,0.15902137713270817
>=65,2022-04-26,COVID,0.1609650771286893
>=65,2022-04-27,COVID,0.16350731201367205
>=65,2022-04-28,COVID,0.16597105410875052
>=65,2022-04-29,COVID,0.16794222111550275
>=65,2022-04-30,COVID,0.16878554095468706
>=65,2022-05-01,COVID,0.1667473716013426
>=65,2022-05-02,COVID,0.1675655660974973
>=65,2022-05-03,COVID,0.16790122950558012
>=65,2022-05-04,COVID,0.1686726386670369
>=65,2022-05-05,COVID,0.17173929889135153
>=65,2022-05-06,COVID,0.17592082839196216
>=65,2022-05-07,COVID,0.18267862955266115
>=65,2022-05-08,COVID,0.18691899381088595
>=65,2022-05-09,COVID,0.19228238547507473
>=65,2022-05-10,COVID,0.19949225866130935
>=65,2022-05-11,COVID,0.20227890272736895
>=65,2022-05-12,COVID,0.20736863907689496
>=65,2022-05-13,COVID,0.20560834150622467
>=65,2022-05-14,COVID,0.20522047531805548
>=65,2022-05-15,COVID,0.2106467952510913
>=65,2022-05-16,COVID,0.2130737657018144
>=65,2022-05-17,COVID,0.21411745135111926
>=65,2022-05-18,COVID,0.22214681671065759
>=65,2022-05-19,COVID,0.2275110111689287
>=65,2022-05-20,COVID,0.2348220265376526
>=65,2022-05-21,COVID,0.23971591375365464
>=65,2022-05-22,COVID,0.24264708304102875
>=65,2022-05-23,COVID,0.24511138174951022
>=65,2022-05-24,COVID,0.2495506800523905
>=65,2022-05-25,COVID,0.25303107926080204
>=65,2022-05-26,COVID,0.25398632829058526
>=65,2022-05-27,COVID,0.2585930117282915
>=65,2022-05-28,COVID,0.2615392482874313
>=65,2022-05-29,COVID,0.2589264528240102
>=65,2022-05-30,COVID,0.2879301055612658
>=65,2022-05-31,COVID,0.2914566120174394
>=65,2022-06-01,COVID,0.2893831649577888
>=65,2022-06-02,COVID,0.28863066369377866
>=65,2022-06-03,COVID,0.28991510570476625
>=65,2022-06-04,COVID,0.28722834521155416
>=65,2022-06-05,COVID,0.29279135439298437
>=65,2022-06-06,COVID,0.2674114795282339
>=65,2022-06-07,COVID,0.26907401747679105
>=65,2022-06-08,COVID,0.27005664359267945
>=65,2022-06-09,COVID,0.2687556200386037
>=65,2022-06-10,COVID,0.26826112922822215
>=65,2022-06-11,COVID,0.27171111070578063
>=65,2022-06-12,COVID,0.27676375592117686
>=65,2022-06-13,COVID,0.27881728985523063
>=65,2022-06-14,COVID,0.2811989551582443
>=65,2022-06-15,COVID,0.2817669588695061
>=65,2022-06-16,COVID,0.2851735235895742
>=65,2022-06-17,COVID,0.28496617101981836
>=65,2022-06-18,COVID,0.290654384744694
>=65,2022-06-19,COVID,0.2956234333109752
>=65,2022-06-20,COVID,0.3048885408439042
>=65,2022-06-21,COVID,0.3046025719371051
