age_bin,collection_date,positive_result,positivity_7day
18-24,2022-02-27,COVID,0.0629486332046029
18-24,2022-02-28,COVID,0.06006386086614414
18-24,2022-03-01,COVID,0.055544487060304945
18-24,2022-03-02,COVID,0.051710465437827
18-24,2022-03-03,COVID,0.049407600065440815
18-24,2022-03-04,COVID,0.04882624314291898
18-24,2022-03-05,COVID,0.04522008983768284
18-24,2022-03-06,COVID,0.04210249856219683
18-24,2022-03-07,COVID,0.041226541388675826
18-24,2022-03-08,COVID,0.04042426097670525
18-24,2022-03-09,COVID,0.03978182723531752
18-24,2022-03-10,COVID,0.038145066083465747
18-24,2022-03-11,COVID,0.0347511549213799
18-24,2022-03-12,COVID,0.03562237277770717
18-24,2022-03-13,COVID,0.034127037801611464
18-24,2022-03-14,COVID,0.03189564598251874
18-24,2022-03-15,COVID,0.03177610485017405
18-24,2022-03-16,COVID,0.03102552443098614
18-24,2022-03-17,COVID,0.031890850435240876
18-24,2022-03-18,COVID,0.03252220648896872
18-24,2022-03-19,COVID,0.035892160044076825
18-24,2022-03-20,COVID,0.03718515430600178
18-24,2022-03-21,COVID,0.03669357721653208
18-24,2022-03-22,COVID,0.03719666405801625
18-24,2022-03-23,COVID,0.038627001221989025
18-24,2022-03-24,COVID,0.0418362177420974
18-24,2022-03-25,COVID,0.04404282288595222
18-24,2022-03-26,COVID,0.04264508275383859
18-24,2022-03-27,COVID,0.04340563718411779
18-24,2022-03-28,COVID,0.04802684966683944
18-24,2022-03-29,COVID,0.05053538961926133
18-24,2022-03-30,COVID,0.05414516862042977
18-24,2022-03-31,COVID,0.05356438795865049
18-24,2022-04-01,COVID,0.054246113640376174
18-24,2022-04-02,COVID,0.057551698007653515
18-24,2022-04-03,COVID,0.059225683494588635
18-24,2022-04-04,COVID,0.06051893381209321
18-24,2022-04-05,COVID,0.0611577663102122
18-24,2022-04-06,COVID,0.062497016215676916
18-24,2022-04-07,COVID,0.06496325825389347
18-24,2022-04-08,COVID,0.0738081926824855
18-24,2022-04-09,COVID,0.07808621638340364
18-24,2022-04-10,COVID,0.08557028181156934
18-24,2022-04-11,COVID,0.0869440828530349
18-24,2022-04-12,COVID,0.09112926321895022
18-24,2022-04-13,COVID,0.09509940444845333
18-24,2022-04-14,COVID,0.10357770022536282
18-24,2022-04-15,COVID,0.10399898690509717
18-24,2022-04-16,COVID,0.1066650018792146
18-24,2022-04-17,COVID,0.09967145312861599
18-24,2022-04-18,COVID,0.10997135058368553
18-24,2022-04-19,COVID,0.11351130420425526
18-24,2022-04-20,COVID,0.11754577743736487
18-24,2022-04-21,COVID,0.11631768794829414
18-24,2022-04-22,COVID,0.12159451638301731
18-24,2022-04-23,COVID,0.12783435650948444
18-24,2022-04-24,COVID,0.14391165270726256
18-24,2022-04-25,COVID,0.14565752314672914
18-24,2022-04-26,COVID,0.15101449419154053
18-24,2022-04-27,COVID,0.1555041257998162
18-24,2022-04-28,COVID,0.16496237758281215
18-24,2022-04-29,COVID,0.16562529120709915
18-24,2022-04-30,COVID,0.16338763157897254
18-24,2022-05-01,COVID,0.16592947134726913
18-24,2022-05-02,COVID,0.16746138063288782
18-24,2022-05-03,COVID,0.17312732140244394
18-24,2022-05-04,COVID,0.17667063837859676
18-24,2022-05-05,COVID,0.17225740515515028
18-24,2022-05-06,COVID,0.16750310846137803
18-24,2022-05-07,COVID,0.1690774274583045
18-24,2022-05-08,COVID,0.16941332489813024
18-24,2022-05-09,COVID,0.17537081057802623
18-24,2022-05-10,COVID,0.17966221528306514
18-24,2022-05-11,COVID,0.17850960466506532
18-24,2022-05-12,COVID,0.18301988997548452
18-24,2022-05-13,COVID,0.19249209309827892
18-24,2022-05-14,COVID,0.19742444229956288
18-24,2022-05-15,COVID,0.20518839542859987
18-24,2022-05-16,COVID,0.20891899023062327
18-24,2022-05-17,COVID,0.21149137422323336
18-24,2022-05-18,COVID,0.21999542696127833
18-24,2022-05-19,COVID,0.22380128498742535
18-24,2022-05-20,COVID,0.2281875754607204
18-24,2022-05-21,COVID,0.2319821348108353
18-24,2022-05-22,COVID,0.23316294455804712
18-24,2022-05-23,COVID,0.23647301026706186
18-24,2022-05-24,COVID,0.23745553076745662
18-24,2022-05-25,COVID,0.23735815130352036
18-24,2022-05-26,COVID,0.2390772003024817
18-24,2022-05-27,COVID,0.23851398322755854
18-24,2022-05-28,COVID,0.23477562185030829
18-24,2022-05-29,COVID,0.2326615512660113
18-24,2022-05-30,COVID,0.22829158866376628
18-24,2022-05-31,COVID,0.23499411091596242
18-24,2022-06-01,COVID,0.2391502972032893
18-24,2022-06-02,COVID,0.24421157449009342
18-24,2022-06-03,COVID,0.24682279505825083
18-24,2022-06-04,COVID,0.25257743362538937
18-24,2022-06-05,COVID,0.2578886847212353
18-24,2022-06-06,COVID,0.26271450223818427
18-24,2022-06-07,COVID,0.25821070756480063
18-24,2022-06-08,COVID,0.2539099443772227
18-24,2022-06-09,COVID,0.2512871068526998
18-24,2022-06-10,COVID,0.24780991319064927
18-24,2022-06-11,COVID,0.24562816045714372
18-24,2022-06-12,COVID,0.24763079263971724
18-24,2022-06-13,COVID,0.24486234596277168
18-24,2022-06-14,COVID,0.2423785471253206
18-24,2022-06-15,COVID,0.24299922402121996
18-24,2022-06-16,COVID,0.24157760559911304
18-24,2022-06-17,COVID,0.24566722270823266
18-24,2022-06-18,COVID,0.2483458284323826
18-24,2022-06-19,COVID,0.24756636364395943
18-24,2022-06-20,COVID,0.25403060040523
18-24,2022-06-21,COVID,0.2599990038436597
18-24,2022-06-22,COVID,0.26997318697284645
18-24,2022-06-23,COVID,0.2729869899793909
25-44,2021-11-02,COVID,0.24815598269704922
25-44,2021-11-03,COVID,0.22200578386134864
25-44,2021-11-04,COVID,0.1901437257133737
25-44,2021-11-05,COVID,0.15933641182617744
25-44,2021-11-06,COVID,0.13221183048819377
25-44,2021-11-07,COVID,0.10079970009482489
25-44,2021-11-08,COVID,0.07582581307833126
25-44,2021-11-09,COVID,0.07778350272903192
25-44,2021-11-10,COVID,0.07948591100787779
25-44,2021-11-11,COVID,0.08042537268824293
25-44,2021-11-12,COVID,0.0818043841298391
25-44,2021-11-13,COVID,0.08193166335004713
25-44,2021-11-14,COVID,0.08273792162810993
25-44,2021-11-15,COVID,0.08461456476531644
25-44,2021-11-16,COVID,0.08478077689487093
25-44,2021-11-17,COVID,0.08462776892895119
25-44,2021-11-18,COVID,0.08419655842370417
25-44,2021-11-19,COVID,0.08342205130709313
25-44,2021-11-20,COVID,0.08327578996658223
25-44,2021-11-21,COVID,0.08177574858214778
25-44,2021-11-22,COVID,0.08031559784960364
25-44,2021-11-23,COVID,0.07971332244747496
25-44,2021-11-24,COVID,0.0805331738805994
25-44,2021-11-25,COVID,0.0743108818580834
25-44,2021-11-26,COVID,0.07549022398477775
